"","churn_decision","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges"
"5642","No","Male","No","No","Yes",39,"Yes","Yes","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",25.45,958.45
"5643","No","Female","No","No","No",20,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.5,403.15
"5644","Yes","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",75.9,75.9
"5645","Yes","Male","No","Yes","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",76.2,76.2
"5646","No","Male","No","Yes","No",64,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","One year","Yes","Credit card (automatic)",66.15,4392.5
"5647","Yes","Male","No","No","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.25,19.25
"5648","No","Female","No","Yes","No",46,"Yes","No","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",69.1,3168
"5649","No","Female","Yes","Yes","Yes",28,"No","No","DSL","No","Yes","No","No","No","Yes","One year","Yes","Electronic check",39.1,1096.6
"5650","No","Female","No","Yes","No",33,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.05,669.45
"5651","No","Male","No","Yes","Yes",39,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","No","Electronic check",59.8,2343.85
"5652","Yes","Female","No","Yes","No",42,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",84.3,3588.4
"5653","No","Female","No","No","No",1,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",48.6,48.6
"5654","Yes","Female","No","No","No",7,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79,522.95
"5655","No","Male","Yes","Yes","No",70,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",105.35,7511.9
"5656","No","Male","No","No","No",65,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",25.1,1725
"5657","No","Male","No","No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",49.75,49.75
"5658","No","Male","No","Yes","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.75,1691.9
"5659","No","Male","No","Yes","No",24,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93,2248.05
"5660","No","Male","No","No","No",63,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",71.9,4479.2
"5661","No","Female","No","No","Yes",44,"Yes","Yes","DSL","No","Yes","No","No","Yes","Yes","One year","Yes","Mailed check",77.55,3471.1
"5662","No","Male","No","No","No",4,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",19.85,63
"5663","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.25,70.25
"5664","No","Female","No","Yes","Yes",37,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.25,3314.15
"5665","Yes","Female","Yes","No","No",10,"Yes","No","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",84.6,865.55
"5666","No","Male","No","No","No",34,"No","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",25.05,852.7
"5667","No","Male","No","Yes","No",35,"No","No","DSL","Yes","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",53.15,1930.9
"5668","No","Female","No","Yes","No",4,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",20.15,91.4
"5669","No","Female","Yes","Yes","No",39,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",101.25,3949.15
"5670","No","Male","Yes","Yes","No",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",100.55,4304
"5671","Yes","Female","No","Yes","Yes",17,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",24.1,409.9
"5672","No","Female","No","Yes","No",61,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",25.3,1554.9
"5673","No","Female","No","Yes","No",49,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","Yes","One year","No","Electronic check",71.8,3472.05
"5674","No","Male","No","No","No",4,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.7,117.8
"5675","No","Female","No","Yes","Yes",64,"No","No","DSL","No","Yes","Yes","Yes","No","Yes","Two year","No","Electronic check",49.85,3210.35
"5676","No","Male","No","No","No",3,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",69.6,207.4
"5677","No","Male","No","Yes","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",19.75,19.75
"5678","No","Male","No","Yes","No",40,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Electronic check",80.8,3132.75
"5679","Yes","Female","No","No","Yes",1,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",60,60
"5680","Yes","Male","No","No","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",86.55,649.65
"5681","Yes","Female","Yes","Yes","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.85,20.85
"5682","No","Female","Yes","Yes","No",34,"Yes","No","DSL","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",64.2,2106.3
"5683","No","Female","No","Yes","No",1,"No","No","DSL","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",35,35
"5684","Yes","Female","No","No","No",39,"No","No","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",50.75,2011.4
"5685","Yes","Female","Yes","Yes","No",58,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",105.5,6205.5
"5686","No","Male","No","Yes","Yes",45,"Yes","No","No","No","No","No","No","No","No","Two year","No","Electronic check",19.2,903.7
"5687","Yes","Male","Yes","No","No",6,"Yes","No","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",85.15,503.6
"5688","No","Male","No","No","No",43,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",90.65,3882.3
"5689","No","Male","No","Yes","Yes",41,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",20,879.8
"5690","No","Male","No","No","No",5,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.65,383.65
"5691","No","Male","No","No","No",72,"No","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",61.2,4390.25
"5692","No","Male","No","No","No",4,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.95,68.2
"5693","No","Male","No","Yes","Yes",9,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Mailed check",54.8,452.8
"5694","No","Male","Yes","Yes","No",72,"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",73.45,5329
"5695","No","Female","No","Yes","No",33,"Yes","No","DSL","No","No","No","Yes","No","No","One year","Yes","Mailed check",51.45,1758.9
"5696","No","Female","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",80.45,5737.6
"5697","Yes","Male","No","Yes","No",22,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",54.2,1152.7
"5698","Yes","Female","No","Yes","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",109.5,7674.55
"5699","Yes","Male","No","Yes","Yes",21,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",104.4,2157.95
"5700","No","Male","No","No","No",15,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","No","Electronic check",85.3,1219.85
"5701","No","Male","Yes","Yes","No",29,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",79.3,2414.55
"5702","No","Female","No","Yes","Yes",15,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",76.5,1155.6
"5703","Yes","Male","Yes","Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",105.1,7548.1
"5704","No","Male","Yes","No","No",72,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",25.4,1809.35
"5705","No","Female","No","Yes","No",19,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",86.85,1564.4
"5706","No","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.65,19.65
"5707","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",75.7,75.7
"5708","No","Female","No","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.55,84.4
"5709","No","Female","Yes","Yes","Yes",11,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",78.1,864.85
"5710","No","Female","No","No","No",12,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.3,228.75
"5711","No","Female","No","Yes","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",110.5,7752.05
"5712","Yes","Female","Yes","Yes","No",20,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","No","Electronic check",90.8,1951
"5713","No","Female","No","No","No",23,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",20.3,470.6
"5714","No","Male","Yes","No","No",49,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","No","Credit card (automatic)",81.35,4060.9
"5715","Yes","Female","No","Yes","Yes",4,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",97.95,384.5
"5716","Yes","Male","No","No","No",32,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",108.15,3432.9
"5717","No","Male","No","No","Yes",2,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",55.3,108.65
"5718","No","Male","Yes","Yes","No",69,"No","No","DSL","Yes","Yes","No","No","Yes","Yes","Two year","No","Credit card (automatic)",56.55,3952.65
"5719","Yes","Male","No","No","No",6,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",80.5,463.05
"5720","No","Female","No","Yes","Yes",24,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.7,494.05
"5721","No","Female","No","No","No",32,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",104.05,3416.85
"5722","No","Female","No","No","No",27,"Yes","No","DSL","Yes","Yes","No","No","No","No","Two year","No","Bank transfer (automatic)",52.85,1498.65
"5723","Yes","Female","Yes","Yes","No",27,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.3,2867.75
"5724","No","Male","No","No","No",58,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",80.65,4807.35
"5725","Yes","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",71.35,71.35
"5726","No","Female","No","Yes","Yes",18,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",24.65,471.35
"5727","No","Female","No","Yes","Yes",47,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",21.3,1041.8
"5728","No","Female","No","Yes","Yes",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",110.2,7689.8
"5729","Yes","Female","No","No","No",13,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","Month-to-month","No","Electronic check",89.4,1132.35
"5730","No","Female","No","Yes","Yes",36,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",51.05,1815
"5731","No","Male","No","No","No",67,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.8,1311.3
"5732","No","Female","No","No","No",10,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.9,199.45
"5733","No","Male","Yes","No","No",19,"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",87.3,1637.3
"5734","No","Female","No","Yes","Yes",71,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.85,1326.35
"5735","No","Male","No","Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",89.4,6376.55
"5736","No","Female","No","Yes","Yes",48,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20,935.9
"5737","No","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.05,20.05
"5738","No","Male","No","Yes","Yes",18,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","No","Electronic check",83.25,1611.15
"5739","Yes","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.6,20.6
"5740","No","Male","Yes","Yes","No",67,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",102.9,6989.7
"5741","No","Male","No","Yes","Yes",69,"No","No","DSL","Yes","No","Yes","Yes","No","No","Two year","No","Mailed check",39.1,2779.5
"5742","Yes","Male","No","No","No",19,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.95,1931.75
"5743","No","Male","Yes","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",114.5,8331.95
"5744","No","Female","Yes","No","No",38,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.2,735.9
"5745","No","Male","Yes","Yes","No",40,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Electronic check",55.8,2283.3
"5746","No","Female","No","Yes","Yes",61,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Mailed check",24.2,1445.2
"5747","Yes","Female","No","No","No",10,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",81,818.05
"5748","No","Male","No","Yes","No",32,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","One year","Yes","Credit card (automatic)",72.8,2333.05
"5749","No","Female","No","No","No",21,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.85,1992.55
"5750","No","Female","Yes","No","No",59,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",99.5,5890
"5751","Yes","Female","Yes","Yes","No",13,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.15,916.75
"5752","No","Female","No","No","No",47,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",20.25,1029.8
"5753","No","Male","No","Yes","Yes",69,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",26,1796.55
"5754","No","Male","No","No","No",2,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",19.9,33.7
"5755","No","Female","No","Yes","Yes",22,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",19.05,454.05
"5756","No","Male","Yes","Yes","No",15,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",96.5,1392.25
"5757","No","Female","No","No","No",53,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.85,1049.6
"5758","No","Female","Yes","Yes","No",28,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",25.7,734.6
"5759","No","Male","No","No","No",22,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.3,475.1
"5760","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.15,70.15
"5761","No","Male","Yes","Yes","No",16,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",91.55,1540.05
"5762","No","Female","No","Yes","Yes",48,"No","No","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Mailed check",39.4,1978.65
"5763","No","Male","Yes","Yes","No",30,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",105.7,3181.8
"5764","No","Female","No","No","No",3,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.25,229.7
"5765","No","Male","Yes","No","No",57,"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","Yes","Two year","No","Electronic check",93.75,5625.55
"5766","Yes","Female","Yes","Yes","No",68,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","One year","Yes","Credit card (automatic)",96.55,6581.9
"5767","No","Female","No","Yes","No",23,"Yes","No","DSL","No","No","No","Yes","Yes","No","One year","No","Bank transfer (automatic)",60,1347.15
"5768","No","Female","No","Yes","No",65,"Yes","No","DSL","No","No","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)",59.8,3808.2
"5769","No","Male","No","Yes","No",44,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",90.65,3974.15
"5770","No","Female","No","Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",109,7661.8
"5771","No","Female","No","Yes","No",37,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",68.1,2479.25
"5772","No","Female","No","No","No",12,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.4,266.6
"5773","No","Male","No","Yes","Yes",69,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",81.95,5601.4
"5774","No","Female","No","No","No",35,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","No","Electronic check",60.55,1982.6
"5775","No","Male","No","No","No",5,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",65.6,339.9
"5776","No","Male","No","Yes","Yes",58,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Two year","No","Bank transfer (automatic)",82.5,4828.05
"5777","No","Male","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",82.3,5980.55
"5778","No","Male","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Mailed check",68.15,4808.7
"5779","No","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",20.3,20.3
"5780","Yes","Female","No","No","No",39,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","No","One year","Yes","Electronic check",95.55,3692.85
"5781","No","Male","No","Yes","Yes",53,"Yes","No","No","No","No","No","No","No","No","One year","No","Credit card (automatic)",20.2,1068.15
"5782","No","Female","No","No","No",27,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",89.2,2383.6
"5783","Yes","Female","Yes","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.65,69.65
"5784","Yes","Female","Yes","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.3,89.3
"5785","No","Female","No","Yes","No",18,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",74.8,1438.05
"5786","No","Male","No","Yes","Yes",46,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",20.2,917.45
"5787","No","Female","No","Yes","No",72,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",84.4,6096.45
"5788","Yes","Female","No","No","No",36,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",87.55,3078.1
"5789","No","Female","No","Yes","No",4,"No","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",25.15,99.95
"5790","No","Female","No","No","No",25,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.8,475.2
"5791","No","Female","No","Yes","Yes",40,"No","No","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",50.85,2036.55
"5792","No","Male","No","Yes","No",63,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",102.4,6444.05
"5793","Yes","Female","Yes","No","No",15,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","Yes","Month-to-month","Yes","Mailed check",96.3,1426.75
"5794","No","Male","No","No","No",14,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",55.5,767.55
"5795","No","Male","Yes","Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",109.75,7932.5
"5796","No","Male","No","No","No",39,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.4,4040.65
"5797","No","Female","No","Yes","Yes",47,"No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",60,2768.65
"5798","No","Male","No","Yes","No",19,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",88.8,1672.35
"5799","Yes","Female","No","No","No",5,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",85.2,474.8
"5800","Yes","Female","No","No","No",13,"No","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",35.1,446.1
"5801","No","Female","No","No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",80.05,1345.65
"5802","No","Male","Yes","Yes","No",34,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.55,2425.4
"5803","No","Female","No","No","No",42,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",49.55,2077.95
"5804","Yes","Male","No","Yes","No",5,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",81.3,416.3
"5805","No","Female","No","Yes","Yes",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",23.9,1663.5
"5806","No","Male","Yes","Yes","No",19,"Yes","No","DSL","Yes","No","Yes","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",66.4,1286.05
"5807","Yes","Female","No","No","Yes",2,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",19.6,35.85
"5808","No","Male","No","No","No",57,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",18.8,1094.35
"5809","No","Male","No","Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",108.4,7719.5
"5810","No","Female","No","No","No",6,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Mailed check",85.95,514.6
"5811","Yes","Female","No","Yes","Yes",17,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.45,1451.6
"5812","No","Male","No","Yes","No",61,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",80.9,4932.5
"5813","Yes","Male","No","Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",71,71
"5814","No","Male","No","Yes","Yes",48,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",111.8,5443.65
"5815","No","Male","No","No","No",16,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",20.6,330.25
"5816","Yes","Male","Yes","No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.05,746.5
"5817","No","Female","No","No","No",3,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.6,122.7
"5818","Yes","Male","No","No","Yes",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.4,44.4
"5819","No","Male","No","No","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",105.1,6631.85
"5820","No","Female","No","Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",115.15,8250
"5821","No","Male","No","Yes","No",60,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Mailed check",59.8,3561.15
"5822","No","Female","No","Yes","No",69,"Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Electronic check",26.3,1763.55
"5823","No","Female","Yes","No","No",35,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.55,2419
"5824","No","Female","No","No","No",22,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.05,470.2
"5825","No","Male","No","Yes","Yes",66,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",79.85,5234.95
"5826","Yes","Male","Yes","Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.3,70.3
"5827","Yes","Female","No","Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",79.35,79.35
"5828","No","Male","No","Yes","Yes",34,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.05,3097
"5829","No","Female","No","Yes","Yes",72,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",24.45,1709.1
"5830","No","Male","No","Yes","Yes",31,"No","No","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","Electronic check",59.95,1848.8
"5831","No","Male","No","No","Yes",30,"Yes","Yes","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",25.35,723.3
